product,model,short_description_v2,full_description_v2,feature_section_title,features_v2,show_feature_section,application_tags_v2,hide_country_when_missing,catalog_show_specifications
Видеопроцессор Medinova HV-3101,HV-3101,Видеопроцессор Medinova HV-3101 — видеопроцессор для подключения совместимых гибких видеоэндоскопов Medinova и вывода изображения на медицинский монитор.,Видеопроцессор Medinova HV-3101 используется как центральный элемент компактной видеоэндоскопической системы Medinova. Поддерживает подключение совместимых гибких эндоскопов и передачу изображения на медицинский монитор.,Ключевые особенности,Совместимость с гибкими видеоэндоскопами Medinova | Видеовыход HDMI | Компактная конфигурация,Да,Эндоскопические отделения | Диагностические центры | Многопрофильные стационары,Да,Нет
Гибкий видеобронхоскоп Medinova AF,AF,Гибкий видеобронхоскоп Medinova AF — гибкий видеоэндоскоп для визуального исследования дыхательных путей и проведения бронхоскопических процедур.,"Гибкий видеобронхоскоп Medinova AF предназначен для визуального исследования трахеи и бронхиального дерева. Модель подходит для использования в пульмонологии, бронхоскопии, анестезиологии и реаниматологии. Карточка интегрирована в каталог CyberMedica с коммерческими условиями «В наличии» и «Рассрочка 0%».",Ключевые особенности,,Нет,Пульмонология | Бронхоскопия | Анестезиология и реаниматология,Да,Нет
Видеобронхоскоп Medinova BR-1231,BR-1231,"Гибкий видеобронхоскоп Medinova BR-1231 с рабочей длиной 610 мм, дистальным концом 2,8 мм и инструментальным каналом 1,2 мм.","Видеобронхоскоп Medinova BR-1231 предназначен для визуального исследования трахеи и бронхиального дерева. Модель подходит для использования в пульмонологии, бронхоскопии, анестезиологии и реаниматологии. Карточка интегрирована в каталог CyberMedica с коммерческими условиями «В наличии» и «Рассрочка 0%».",Ключевые особенности,"Дистальный конец 2,8 мм | Инструментальный канал 1,2 мм | Рабочая длина 610 мм | Поле зрения 120° | CMOS-сенсор | Встроенное LED-освещение | Совместимость с HV-3101",Да,Пульмонология | Бронхоскопия | Анестезиология и реаниматология,Да,Нет
Видеобронхоскоп Medinova BR-1242,BR-1242,"Гибкий видеобронхоскоп Medinova BR-1242 с рабочей длиной 610 мм, дистальным концом 4,2 мм и инструментальным каналом 2,0 мм.","Видеобронхоскоп Medinova BR-1242 предназначен для визуального исследования трахеи и бронхиального дерева. Модель подходит для использования в пульмонологии, бронхоскопии, анестезиологии и реаниматологии. Карточка интегрирована в каталог CyberMedica с коммерческими условиями «В наличии» и «Рассрочка 0%».",Ключевые особенности,"Дистальный конец 4,2 мм | Инструментальный канал 2,0 мм | Рабочая длина 610 мм | Поле зрения 120° | CMOS-сенсор | Встроенное LED-освещение | Совместимость с HV-3101",Да,Пульмонология | Бронхоскопия | Анестезиология и реаниматология,Да,Нет
Видеобронхоскоп Medinova BR-1249,BR-1249,"Гибкий видеобронхоскоп Medinova BR-1249 с рабочей длиной 610 мм, дистальным концом 4,8 мм и инструментальным каналом 2,0 мм.","Видеобронхоскоп Medinova BR-1249 предназначен для визуального исследования трахеи и бронхиального дерева. Модель подходит для использования в пульмонологии, бронхоскопии, анестезиологии и реаниматологии. Карточка интегрирована в каталог CyberMedica с коммерческими условиями «В наличии» и «Рассрочка 0%».",Ключевые особенности,"Дистальный конец 4,8 мм | Инструментальный канал 2,0 мм | Рабочая длина 610 мм | Поле зрения 120° | CMOS-сенсор | Встроенное LED-освещение | Совместимость с HV-3101",Да,Пульмонология | Бронхоскопия | Анестезиология и реаниматология,Да,Нет
Видеобронхоскоп Medinova BR-1259,BR-1259,"Гибкий видеобронхоскоп Medinova BR-1259 с рабочей длиной 610 мм, дистальным концом 5,9 мм и инструментальным каналом 2,8 мм.","Видеобронхоскоп Medinova BR-1259 предназначен для визуального исследования трахеи и бронхиального дерева. Модель подходит для использования в пульмонологии, бронхоскопии, анестезиологии и реаниматологии. Карточка интегрирована в каталог CyberMedica с коммерческими условиями «В наличии» и «Рассрочка 0%».",Ключевые особенности,"Дистальный конец 5,9 мм | Инструментальный канал 2,8 мм | Рабочая длина 610 мм | Поле зрения 120° | CMOS-сенсор | Встроенное LED-освещение | Совместимость с HV-3101",Да,Пульмонология | Бронхоскопия | Анестезиология и реаниматология,Да,Нет
Видеоуретерореноскоп Medinova UR-1328,UR-1328,"Гибкий видеоуретерореноскоп Medinova UR-1328 с рабочей длиной 670 мм, дистальным концом 3,0 мм и инструментальным каналом 1,2 мм.",Medinova UR-1328 предназначен для эндоурологических диагностических и лечебных процедур и совместим с видеопроцессором HV-3101.,Ключевые особенности,"Рабочая длина 670 мм | Дистальный конец 3,0 мм | Канал 1,2 мм | Поле зрения 120° | Изгиб вверх/вниз 275°",Да,Урология | Эндоурология | Операционные блоки,Да,Нет
Видеоцистонефроскоп Medinova CY-1355,CY-1355,"Гибкий видеоцистонефроскоп Medinova CY-1355 с рабочей длиной 380 мм, дистальным концом 5,5 мм и каналом 2,6 мм.","Medinova CY-1355 предназначен для визуализации мочевого пузыря, уретры и мочевыводящих путей в рамках эндоурологических процедур.",Ключевые особенности,"Дистальный конец 5,5 мм | Инструментальный канал 2,6 мм | Рабочая длина 380 мм | Поле зрения 90°",Да,Урология | Эндоурология | Операционные блоки,Да,Нет
Видеоцистонефроскоп Medinova CY-1356,CY-1356,"Гибкий видеоцистонефроскоп Medinova CY-1356 с рабочей длиной 380 мм, дистальным концом 5,6 мм и каналом 2,2 мм.","Medinova CY-1356 предназначен для визуализации мочевого пузыря, уретры и мочевыводящих путей в рамках эндоурологических процедур.",Ключевые особенности,"Дистальный конец 5,6 мм | Инструментальный канал 2,2 мм | Рабочая длина 380 мм | Поле зрения 90°",Да,Урология | Эндоурология | Операционные блоки,Да,Нет
"Медицинский монитор Medinova 19"" HD",19 HD,"Медицинский монитор Medinova 19"" HD для вывода эндоскопического изображения в составе диагностических и хирургических систем.","Медицинский монитор Medinova 19"" HD предназначен для интеграции с совместимыми эндоскопическими системами и использования в диагностических кабинетах, эндоскопических и операционных отделениях.",Ключевые особенности,"Диагональ 19"" | Разрешение HD | Интеграция с эндоскопическими системами",Да,Эндоскопические отделения | Операционные | Диагностические кабинеты,Да,Нет
"Медицинский монитор Medinova 24"" Full HD",24 Full HD,"Медицинский монитор Medinova 24"" Full HD для вывода эндоскопического изображения в составе диагностических и хирургических систем.","Медицинский монитор Medinova 24"" Full HD предназначен для интеграции с совместимыми эндоскопическими системами и использования в диагностических кабинетах, эндоскопических и операционных отделениях.",Ключевые особенности,"Диагональ 24"" | Разрешение Full HD | Интеграция с эндоскопическими системами",Да,Эндоскопические отделения | Операционные | Диагностические кабинеты,Да,Нет
"Медицинский монитор Medinova 27"" Full HD",27 Full HD,"Медицинский монитор Medinova 27"" Full HD для вывода эндоскопического изображения в составе диагностических и хирургических систем.","Медицинский монитор Medinova 27"" Full HD предназначен для интеграции с совместимыми эндоскопическими системами и использования в диагностических кабинетах, эндоскопических и операционных отделениях.",Ключевые особенности,"Диагональ 27"" | Разрешение Full HD | Интеграция с эндоскопическими системами",Да,Эндоскопические отделения | Операционные | Диагностические кабинеты,Да,Нет
"Медицинский монитор Medinova 32"" 4K",32 4K,"Медицинский монитор Medinova 32"" 4K для вывода эндоскопического изображения в составе диагностических и хирургических систем.","Медицинский монитор Medinova 32"" 4K предназначен для интеграции с совместимыми эндоскопическими системами и использования в диагностических кабинетах, эндоскопических и операционных отделениях.",Ключевые особенности,"Диагональ 32"" | Разрешение 4K | Интеграция с эндоскопическими системами",Да,Эндоскопические отделения | Операционные | Диагностические кабинеты,Да,Нет
"Медицинский монитор Medinova 55"" 4K",55 4K,"Медицинский монитор Medinova 55"" 4K для вывода эндоскопического изображения в составе диагностических и хирургических систем.","Медицинский монитор Medinova 55"" 4K предназначен для интеграции с совместимыми эндоскопическими системами и использования в диагностических кабинетах, эндоскопических и операционных отделениях.",Ключевые особенности,"Диагональ 55"" | Разрешение 4K | Интеграция с эндоскопическими системами",Да,Эндоскопические отделения | Операционные | Диагностические кабинеты,Да,Нет
Видеогастроскоп SonoScape EG-UR5,EG-UR5,Видеогастроскоп SonoScape EG-UR5 — гибкий видеогастроскоп для исследования верхних отделов желудочно-кишечного тракта.,"Видеогастроскоп SonoScape EG-UR5 предназначен для гастроскопических исследований пищевода, желудка и двенадцатиперстной кишки. Модель рассчитана на работу в эндоскопических отделениях и диагностических центрах.",Ключевые особенности,,Нет,Гастроэнтерология | Эндоскопические отделения | Диагностические центры,Да,Нет
Видеогастроскоп SonoScape EG-UC5T,EG-UC5T,Видеогастроскоп SonoScape EG-UC5T — гибкий видеогастроскоп для исследования верхних отделов желудочно-кишечного тракта.,"Видеогастроскоп SonoScape EG-UC5T предназначен для гастроскопических исследований пищевода, желудка и двенадцатиперстной кишки. Модель рассчитана на работу в эндоскопических отделениях и диагностических центрах.",Ключевые особенности,,Нет,Гастроэнтерология | Эндоскопические отделения | Диагностические центры,Да,Нет
Видеогастроскоп SonoScape EG-500,EG-500,Видеогастроскоп SonoScape EG-500 — гибкий видеогастроскоп для исследования верхних отделов желудочно-кишечного тракта.,"Видеогастроскоп SonoScape EG-500 предназначен для гастроскопических исследований пищевода, желудка и двенадцатиперстной кишки. Модель рассчитана на работу в эндоскопических отделениях и диагностических центрах.",Ключевые особенности,"Интеграция с видеоэндоскопическими системами SonoScape | Рабочая длина 1050 мм | Поле зрения 140° | Инструментальный канал 2,8 мм",Да,Гастроэнтерология | Эндоскопические отделения | Диагностические центры,Да,Нет
Видеогастроскоп SonoScape EG-500L,EG-500L,Видеогастроскоп SonoScape EG-500L — гибкий видеогастроскоп для исследования верхних отделов желудочно-кишечного тракта.,"Видеогастроскоп SonoScape EG-500L предназначен для гастроскопических исследований пищевода, желудка и двенадцатиперстной кишки. Модель рассчитана на работу в эндоскопических отделениях и диагностических центрах.",Ключевые особенности,,Нет,Гастроэнтерология | Эндоскопические отделения | Диагностические центры,Да,Нет
